,,,,,,,,,,,
,,,,,,,,,,,
,Tabla N°:,1.2 ,,,,,,,,,
,Nombre de la tabla:,"Población en viviendas particulares por condición de pobreza por NBI y sexo al nacer, según provincia, cantón, parroquia y área de residencia",,,,,,,,,
,Fuente:,VIII Censo de Población y VII de Vivienda ,,,,,,,,,
,Elaboración:,Instituto Nacional de Estadística y Censos (INEC) - Componente de Metodología y Análisis – CPV 2022 ,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Índice,"Provincia, cantón, parroquia y área de residencia",,,Número total de personas en viviendas particulares,Número total de personas en viviendas particulares,Condición de Pobreza por Necesidades Básicas Insatisfechas NBI,,,,,
,,,,,,No pobres,,"Total
No pobres",Pobres,,"Total
Pobres"
,,,,,,Sexo al nacer,,,Sexo al nacer,,
,,,,,,Hombres,Mujeres,,Hombres,Mujeres,
,,,,,,,,,,,
,Azuay,Guachapala,Guachapala,Urbana,"1,206",466,527,993,87,126,213
,Azuay,Guachapala,Guachapala,Rural,"2,376",722,723,"1,445",436,495,931
,Azuay,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,"22,763","6,808","7,027","13,835","4,452","4,476","8,928"
,Azuay,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,Urbana,"10,015","3,406","3,622","7,028","1,428","1,559","2,987"
,Azuay,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,Rural,"12,748","3,402","3,405","6,807","3,024","2,917","5,941"
,Azuay,Camilo Ponce Enríquez,Camilo Ponce Enríquez,Total Camilo Ponce Enríquez,"22,763","6,808","7,027","13,835","4,452","4,476","8,928"
,Azuay,Camilo Ponce Enríquez,Camilo Ponce Enríquez,Urbana,"10,015","3,406","3,622","7,028","1,428","1,559","2,987"
,Azuay,Camilo Ponce Enríquez,Camilo Ponce Enríquez,Rural,"12,748","3,402","3,405","6,807","3,024","2,917","5,941"
,Bolívar,Total Bolívar,Total Bolívar,Total Bolívar,"198,533","39,225","43,042","82,267","56,252","60,014","116,266"
,Bolívar,Total Bolívar,Total Bolívar,Urbana,"63,728","23,987","27,068","51,055","6,020","6,653","12,673"
,Bolívar,Total Bolívar,Total Bolívar,Rural,"134,805","15,238","15,974","31,212","50,232","53,361","103,593"
,Bolívar,Guaranda,Total Guaranda,Total Guaranda,"97,770","17,771","19,859","37,630","28,566","31,574","60,140"
,Bolívar,Guaranda,Total Guaranda,Urbana,"30,412","11,420","13,146","24,566","2,771","3,075","5,846"
